hour_index,timestamp_utc,excel_time,upsets_proton_raw,upsets_proton_filled,is_missing_proton,fill_method,background_proton_gp,event_proton_sp,gcl_ratio,skl_ratio,upsets_total_nu
161,2021-01-07T17:00:00Z,44203.7083333,0.770625596201,0.770625596201,false,raw,0.719828121264,0.0507974749371,10.7,3,8.62517891854
162,2021-01-07T18:00:00Z,44203.75,0.845537204555,0.845537204555,false,raw,0.720565686115,0.12497151844,10.7,3,8.9305046013
163,2021-01-07T19:00:00Z,44203.7916667,0.977330176684,0.977330176684,false,raw,0.721303250966,0.256026925718,10.7,3,9.46335573917
164,2021-01-07T20:00:00Z,44203.8333333,1.01319559459,1.01319559459,false,raw,0.722755582581,0.290440012009,10.7,3,9.61800036423
165,2021-01-07T21:00:00Z,44203.875,0.917492753736,0.917492753736,false,raw,0.724565297577,0.192927456159,10.7,3,9.24912380629
166,2021-01-07T22:00:00Z,44203.9166667,0.809383965339,0.809383965339,false,raw,0.726375012574,0.0830089527646,10.7,3,8.83062345818
167,2021-01-07T23:00:00Z,44203.9583333,0.854210988577,0.854210988577,false,raw,0.727816315099,0.126394673478,10.7,3,9.02102958057
168,2021-01-08T00:00:00Z,44204,0.850633378693,0.850633378693,false,raw,0.728520792679,0.122112586014,10.7,3,9.0121436184
169,2021-01-08T01:00:00Z,44204.0416667,0.902309025677,0.902309025677,false,raw,0.729225270259,0.173083755418,10.7,3,9.2242706837
170,2021-01-08T02:00:00Z,44204.0833333,0.921768692936,0.921768692936,false,raw,0.729929747839,0.191838945097,10.7,3,9.3075338301
171,2021-01-08T03:00:00Z,44204.125,0.895606986606,0.895606986606,false,raw,0.730043078746,0.16556390786,10.7,3,9.20375965277
172,2021-01-08T04:00:00Z,44204.1666667,0.797911048758,0.797911048758,false,raw,0.730156409654,0.0677546391044,10.7,3,8.81384854936
173,2021-01-08T05:00:00Z,44204.2083333,0.871363378937,0.871363378937,false,raw,0.730269740561,0.141093638376,10.7,3,9.10853051807
174,2021-01-08T06:00:00Z,44204.25,0.791344053405,0.791344053405,false,raw,0.730331400056,0.0610126533492,10.7,3,8.78892799405
175,2021-01-08T07:00:00Z,44204.2916667,0.795355647861,0.795355647861,false,raw,0.730367223845,0.0649884240165,10.7,3,8.80525021505
176,2021-01-08T08:00:00Z,44204.3333333,0.809312979954,0.809312979954,false,raw,0.730403047633,0.0789099323208,10.7,3,8.86135538659
177,2021-01-08T09:00:00Z,44204.375,0.788915563246,0.788915563246,false,raw,0.730774278583,0.058141284663,10.7,3,8.78262419807
178,2021-01-08T10:00:00Z,44204.4166667,0.728322046261,0.728322046261,false,raw,0.730355282582,0,10.7,3,8.5451568062
179,2021-01-08T11:00:00Z,44204.4583333,0.648964885755,0.648964885755,false,raw,0.730194186623,0,10.7,3,8.54327198349
180,2021-01-08T12:00:00Z,44204.5,0.694827841958,0.694827841958,false,raw,0.729929747839,0,10.7,3,8.54017804972
181,2021-01-08T13:00:00Z,44204.5416667,0.665413225407,0.665413225407,false,raw,0.728804356734,0,10.7,3,8.52701097379
182,2021-01-08T14:00:00Z,44204.5833333,0.650320735286,0.650320735286,false,raw,0.728025823452,0,10.7,3,8.51790213439
183,2021-01-08T15:00:00Z,44204.625,0.724438298951,0.724438298951,false,raw,0.72726717021,0,10.7,3,8.50902589146
184,2021-01-08T16:00:00Z,44204.6666667,0.693172418882,0.693172418882,false,raw,0.725066937009,0,10.7,3,8.483283163
185,2021-01-08T17:00:00Z,44204.7083333,0.688142366961,0.688142366961,false,raw,0.722993702434,0,10.7,3,8.45902631847
186,2021-01-08T18:00:00Z,44204.75,0.776068334763,0.776068334763,false,raw,0.723860460344,0.052207874419,10.7,3,8.6779988837
187,2021-01-08T19:00:00Z,44204.7916667,0.757426699134,0.757426699134,false,raw,0.72475261798,0.0326740811542,10.7,3,8.61030195498
188,2021-01-08T20:00:00Z,44204.8333333,0.783124979489,0.783124979489,false,raw,0.725695575066,0.0574294044228,10.7,3,8.72035584597
189,2021-01-08T21:00:00Z,44204.875,0.81313107093,0.81313107093,false,raw,0.726638532153,0.0864925387774,10.7,3,8.8476409813
190,2021-01-08T22:00:00Z,44204.9166667,0.822224964174,0.822224964174,false,raw,0.727581489239,0.094643474935,10.7,3,8.89127732384
191,2021-01-08T23:00:00Z,44204.9583333,0.977432014307,0.977432014307,false,raw,0.727803656346,0.249628357961,10.7,3,9.51381621109
